week,year,name,team,opp,score,sacks,sack-yds,qb-hits,tackles,assists,fum-forced,fum-rec
6,12,Brendon Ayanbadejo,BAL,vs DAL,W  31-29,0.0,0.0,0,1,0,0,0
6,12,Robert Ayers,DEN,@ SD,W  35-24,0.0,0.0,0,0,1,0,0
6,12,Akeem Ayers,TEN,vs PIT,W  26-23,0.0,0.0,0,2,4,0,0
6,12,Jason Babin,PHI,vs DET,L 23-26,0.0,0.0,2,1,2,0,0
6,12,Jordan Babineaux,TEN,vs PIT,W  26-23,0.0,0.0,0,7,2,0,0
6,12,Jonathan Babineaux,ATL,vs OAK,W  23-20,0.0,0.0,0,5,0,1,0
6,12,Johnson Bademosi,CLE,vs CIN,W  34-24,0.0,0.0,0,0,0,0,0
6,12,Champ Bailey,DEN,@ SD,W  35-24,0.0,0.0,0,4,0,0,0
6,12,Chris Baker,WAS,vs MIN,W  38-26,0.0,0.0,0,1,0,0,0
6,12,Alan Ball,HOU,vs GB,L 24-42,0.0,0.0,0,0,0,0,0
6,12,Christian Ballard,MIN,@ WAS,L 26-38,0.0,0.0,0,1,0,0,0
6,12,Justin Bannan,DEN,@ SD,W  35-24,0.0,0.0,0,6,1,0,0
6,12,Ronde Barber,TB,vs KC,W  38-10,0.0,0.0,0,6,1,0,0
6,12,Antwan Barnes,SD,vs DEN,L 24-35,0.0,0.0,0,1,0,0,0
6,12,Mark Barron,TB,vs KC,W  38-10,0.0,0.0,0,6,2,0,0
6,12,Connor Barwin,HOU,vs GB,L 24-42,0.0,0.0,0,3,0,0,0
6,12,Baron Batch,PIT,@ TEN,L 23-26,0.0,0.0,0,0,0,0,0
6,12,Jovan Belcher,KC,@ TB,L 10-38,0.0,0.0,0,2,0,0,0
6,12,Yeremiah Bell,NYJ,vs IND,W  35-9,0.0,0.0,0,7,2,0,0
6,12,Joique Bell,DET,@ PHI,W  26-23,0.0,0.0,0,0,0,0,0
6,12,Demetress Bell,PHI,vs DET,L 23-26,0.0,0.0,0,0,0,0,0
6,12,Nick Bellore,NYJ,vs IND,W  35-9,0.0,0.0,0,0,0,0,0
6,12,Arrelious Benn,TB,vs KC,W  38-10,0.0,0.0,0,0,0,0,0
6,12,Michael Bennett,TB,vs KC,W  38-10,0.0,0.0,0,2,0,0,0
6,12,Dwight Bentley,DET,@ PHI,W  26-23,0.0,0.0,0,3,0,0,0
6,12,Eric Berry,KC,@ TB,L 10-38,0.0,0.0,0,3,1,0,0
6,12,Antoine Bethea,IND,@ NYJ,L 9-35,0.0,0.0,0,4,4,0,0
6,12,Justin Bethel,ARI,vs BUF,L 16-19,0.0,0.0,0,0,0,0,0
6,12,Kroy Biermann,ATL,vs OAK,W  23-20,0.0,0.0,1,2,1,0,0
6,12,Atari Bigby,SD,vs DEN,L 24-35,0.0,0.0,0,5,1,0,0
6,12,E.J. Biggers,TB,vs KC,W  38-10,0.0,0.0,0,2,0,0,0
6,12,Quincy Black,TB,vs KC,W  38-10,0.0,0.0,0,4,2,0,0
6,12,Chase Blackburn,NYG,@ SF,W  26-3,0.0,0.0,0,3,2,0,0
6,12,Robert Blanton,MIN,@ WAS,L 26-38,0.0,0.0,0,0,0,0,0
6,12,Omar Bolden,DEN,@ SD,W  35-24,0.0,0.0,0,0,0,0,0
7,12,Brian Robison,MIN,vs ARI,W  21-14,3.5,18.0,5,7,2,1,0
7,12,Jared Allen,MIN,vs ARI,W  21-14,2.0,5.0,2,2,1,0,0
7,12,Antonio Smith,HOU,vs BAL,W  43-13,2.0,17.0,2,3,0,0,0
7,12,Daryl Washington,ARI,@ MIN,L 14-21,2.0,8.0,2,8,1,0,0
7,12,Geno Atkins,CIN,vs PIT,L 17-24,1.0,8.0,1,1,1,0,0
