"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16656-14377","QB","Tyrod","Taylor","16.773333231608074","6","7700","BUF@MIA","BUF","MIA","","","",""
"16656-32418","RB","Christine","Michael","15.919999694824218","5","7600","SEA@ARI","SEA","ARI","","","",""
"16656-6714","QB","Joe","Flacco","15.210000356038412","6","7600","BAL@NYJ","BAL","NYJ","Q","Shoulder","",""
"16656-6748","QB","Carson","Palmer","15.10399932861328","5","7600","SEA@ARI","ARI","SEA","Q","Hamstring","",""
"16656-24920","RB","Devonta","Freeman","14.033332824707031","6","7500","SD@ATL","ATL","SD","","","",""
"16656-24849","QB","Jameis","Winston","18.01600036621094","5","7500","TB@SF","TB","SF","","","",""
"16656-34308","QB","Blake","Bortles","17.767999267578126","5","7400","OAK@JAC","JAC","OAK","","","",""
"16656-6759","WR","Brandon","Marshall","11.466667175292969","6","7400","BAL@NYJ","NYJ","BAL","","","",""
"16656-21970","RB","Doug","Martin","7.199999809265137","2","7300","TB@SF","TB","SF","D","Hamstring","",""
"16656-15212","WR","Terrelle","Pryor Sr.","14.256666819254557","6","7300","CLE@CIN","CLE","CIN","Q","Hamstring","",""
"16656-30298","TE","Jordan","Reed","12.019999694824218","5","7300","WAS@DET","WAS","DET","Q","Concussion","",""
"16656-11414","QB","Sam","Bradford","15.875","4","7300","MIN@PHI","MIN","PHI","","","",""
"16656-22038","QB","Kirk","Cousins","16.8000005086263","6","7300","WAS@DET","WAS","DET","","","",""
"16656-21948","QB","Ryan","Tannehill","14.276667277018229","6","7200","BUF@MIA","MIA","BUF","","","",""
"16656-8005","QB","Alex","Smith","14.675999450683594","5","7200","NO@KC","KC","NO","","","",""
"16656-9392","WR","Michael","Crabtree","14","6","7200","OAK@JAC","OAK","JAC","","","",""
"16656-11779","RB","LeGarrette","Blount","13.800000508626303","6","7100","NE@PIT","NE","PIT","","","",""
"16656-70324","QB","Carson","Wentz","15.627999877929687","5","7100","MIN@PHI","PHI","MIN","","","",""
"16656-14626","WR","Doug","Baldwin","12.34000015258789","5","7100","SEA@ARI","SEA","ARI","","","",""
"16656-6883","WR","Larry","Fitzgerald","15","6","7100","SEA@ARI","ARI","SEA","","","",""
"16656-31459","RB","Spencer","Ware","15.419999694824218","5","7000","NO@KC","KC","NO","","","",""
"16656-31394","WR","Jarvis","Landry","12.616666158040365","6","7000","BUF@MIA","MIA","BUF","","","",""
"16656-25079","WR","Stefon","Diggs","13.875","4","7000","MIN@PHI","MIN","PHI","Q","Groin","",""
"16656-7659","QB","Ryan","Fitzpatrick","12.34000015258789","6","6900","BAL@NYJ","NYJ","BAL","","","",""
"16656-6607","WR","Mike","Wallace","11.90000025431315","6","6900","BAL@NYJ","BAL","NYJ","","","",""
"16656-54607","RB","Terrance","West","11.716667175292969","6","6900","BAL@NYJ","BAL","NYJ","","","",""
"16656-7859","WR","Julian","Edelman","7.333333333333333","6","6900","NE@PIT","NE","PIT","Q","Foot","",""
"16656-7283","WR","Jeremy","Maclin","9.34000015258789","5","6800","NO@KC","KC","NO","","","",""
"16656-31397","RB","Jeremy","Hill","8.516666412353516","6","6800","CLE@CIN","CIN","CLE","","","",""
"16656-44449","WR","Willie","Snead","12.774999618530273","4","6800","NO@KC","NO","KC","","","",""
"16656-6728","RB","Jamaal","Charles","6.199999809265137","2","6800","NO@KC","KC","NO","","","",""
"16656-30244","RB","Matt","Jones","11.766666412353516","6","6700","WAS@DET","WAS","DET","","","",""
"16656-11512","TE","Jimmy","Graham","10.1","5","6700","SEA@ARI","SEA","ARI","","","",""
"16656-6899","RB","Matt","Forte","11.716667175292969","6","6700","BAL@NYJ","NYJ","BAL","Q","Knee","",""
"16656-29587","QB","Cody","Kessler","12.5","4","6600","CLE@CIN","CLE","CIN","","","",""
"16656-14211","RB","Mark","Ingram","12.719999694824219","5","6600","NO@KC","NO","KC","","","",""
"16656-11485","WR","Golden","Tate","8.450000127156576","6","6600","WAS@DET","DET","WAS","","","",""
"16656-6803","QB","Josh","McCown","16.399999618530273","1","6600","CLE@CIN","CLE","CIN","Q","Collarbone","",""
"16656-14231","QB","Colin","Kaepernick","18.079999923706055","1","6500","TB@SF","SF","TB","","","",""
"16656-54608","RB","Jerick","McKinnon","6.259999847412109","5","6500","MIN@PHI","MIN","PHI","","","",""
"16656-6863","TE","Delanie","Walker","9.019999694824218","5","6500","IND@TEN","TEN","IND","","","",""
"16656-6739","WR","DeSean","Jackson","8.383333206176758","6","6500","WAS@DET","WAS","DET","Q","Shoulder","",""
"16656-14194","QB","Blaine","Gabbert","15.539999389648438","5","6400","TB@SF","SF","TB","","","",""
"16656-46882","RB","Jay","Ajayi","12.45999984741211","5","6400","BUF@MIA","MIA","BUF","","","",""
"16656-54684","RB","Isaiah","Crowell","12.466667175292969","6","6400","CLE@CIN","CLE","CIN","","","",""
"16656-30837","WR","Jordan","Matthews","11.480000305175782","5","6400","MIN@PHI","PHI","MIN","Q","Knee","",""
"16656-6840","RB","Frank","Gore","12.683333079020182","6","6400","IND@TEN","IND","TEN","","","",""
"16656-7744","QB","Drew","Stanton","3.265000104904175","4","6400","SEA@ARI","ARI","SEA","","","",""
"16656-25290","RB","Giovani","Bernard","10.133333206176758","6","6300","CLE@CIN","CIN","CLE","","","",""
"16656-33076","TE","Travis","Kelce","9.94000015258789","5","6300","NO@KC","KC","NO","","","",""
"16656-54606","WR","John","Brown","7.016666412353516","6","6300","SEA@ARI","ARI","SEA","Q","Hamstring","",""
"16656-31061","RB","T.J.","Yeldon","8.65999984741211","5","6300","OAK@JAC","JAC","OAK","","","",""
"16656-33465","RB","Theo","Riddick","14.61999969482422","5","6300","WAS@DET","DET","WAS","Q","Ankle","",""
"16656-33260","WR","DeVante","Parker","8.7","5","6200","BUF@MIA","MIA","BUF","","","",""
"16656-27405","QB","Landry","Jones","-0.10000000397364299","3","6200","NE@PIT","PIT","NE","","","",""
"16656-24755","WR","Jamison","Crowder","10.566666920979818","6","6200","WAS@DET","WAS","DET","","","",""
"16656-27776","RB","Tevin","Coleman","14.666666666666666","6","6200","SD@ATL","ATL","SD","","","",""
"16656-6735","WR","Steve","Smith Sr.","10.1","5","6200","BAL@NYJ","BAL","NYJ","Q","Ankle","",""
"16656-62535","WR","Tyrell","Williams","10.433333079020182","6","6100","SD@ATL","SD","ATL","","","",""
"16656-28930","RB","James","White","9.15000025431315","6","6100","NE@PIT","NE","PIT","","","",""
"16656-22035","WR","Travis","Benjamin","10.416666666666666","6","6100","SD@ATL","SD","ATL","Q","Leg","",""
"16656-6774","WR","Pierre","Garcon","8.450000127156576","6","6100","WAS@DET","WAS","DET","","","",""
"16656-32514","QB","Trevone","Boykin","5.400000095367432","1","6000","SEA@ARI","SEA","ARI","","","",""
"16656-14267","QB","Ryan","Mallett","10.991428920200892","7","6000","BAL@NYJ","BAL","NYJ","","","",""
"16656-27266","WR","Quincy","Enunwa","9.09999974568685","6","6000","BAL@NYJ","NYJ","BAL","","","",""
"16656-30231","QB","Jacoby","Brissett","9.433333079020182","3","6000","NE@PIT","NE","PIT","IR","Thumb","",""
"16656-25410","QB","Mike","Glennon","0","0","6000","TB@SF","TB","SF","","","",""
"16656-54604","QB","Jimmy","Garoppolo","11.846666971842447","3","6000","NE@PIT","NE","PIT","Q","Shoulder","",""
"16656-25760","WR","Allen","Hurns","9.2","5","6000","OAK@JAC","JAC","OAK","Q","Shoulder","",""
"16656-33557","TE","Tyler","Eifert","12.73076923076923","13","6000","CLE@CIN","CIN","CLE","Q","Back","",""
"16656-7970","QB","Charlie","Whitehurst","10.380000114440918","1","6000","CLE@CIN","CLE","CIN","","","",""
"16656-6844","QB","Shaun","Hill","10.239999771118164","1","6000","MIN@PHI","MIN","PHI","","","",""
"16656-6679","QB","Matt","Schaub","15.300000190734863","2","6000","SD@ATL","ATL","SD","","","",""
"16656-7778","QB","Matt","Cassel","-0.10000000149011612","1","6000","IND@TEN","TEN","IND","","","",""
"16656-22027","QB","Nick","Foles","9.64363653009588","11","6000","NO@KC","KC","NO","","","",""
"16656-21971","TE","Coby","Fleener","10.280000305175781","5","5900","NO@KC","NO","KC","","","",""
"16656-21952","WR","Michael","Floyd","7.366666793823242","6","5900","SEA@ARI","ARI","SEA","","","",""
"16656-6479","WR","Anquan","Boldin","9.483333587646484","6","5900","WAS@DET","DET","WAS","","","",""
"16656-31047","QB","AJ","McCarron","8.17999976021903","7","5900","CLE@CIN","CIN","CLE","","","",""
