year,team,rank,sacks,adjusted_sack_rate
16,DEN,23,18,6.6%
16,MIN,25,19,6.8%
16,SD,26,21,7.0%
16,ARI,27,25,7.2%
16,KC,28,17,7.5%
16,BUF,29,19,8.3%
16,MIA,30,18,8.5%
16,CIN,31,25,8.8%
16,IND,32,31,9.3%
16,NFL,x,17,6.0%
