year,team,rank,sacks,adjusted_sack_rate
16,OAK,24,15,5.1%
16,NO,25,19,5.1%
16,CLE,26,16,5.1%
16,LARM,27,20,5.0%
16,SF,28,17,4.8%
16,SD,29,19,4.7%
16,NYG,30,18,4.7%
16,NE,31,21,4.6%
16,NYJ,32,18,4.4%
16,NFL,x,22,6.1%
