Year,Week,Name,Pos,Team,Opp,H_A,Salary
2016,5,David Johnson,RB,ARI,SF,0,9000
2016,5,Ezekiel Elliott,RB,DAL,CIN,1,7900
2016,5,Tevin Coleman,RB,ATL,DEN,0,5900
2016,5,Jordan Howard,RB,CHI,IND,0,7200
2016,5,Theo Riddick,RB,DET,PHI,1,6200
2016,5,Cameron Artis-Payne,RB,CAR,TB,1,5800
2016,5,Carlos Hyde,RB,SF,ARI,1,7200
2016,5,Le'Veon Bell,RB,PIT,NYJ,1,8600
2016,5,Devonta Freeman,RB,ATL,DEN,0,7400
2016,5,Matt Asiata,RB,MIN,HOU,1,5800
2016,5,LeSean McCoy,RB,BUF,LARM,0,7800
2016,5,Todd Gurley,RB,LARM,BUF,1,7600
2016,5,DeMarco Murray,RB,TEN,MIA,0,8400
2016,5,Jacquizz Rodgers,RB,TB,CAR,0,5700
2016,5,Ryan Mathews,RB,PHI,DET,0,6300
2016,5,Melvin Gordon,RB,SD,OAK,0,7700
2016,5,Jalen Richard,RB,OAK,SD,1,4900
2016,5,Giovani Bernard,RB,CIN,DAL,0,5500
2016,5,James White,RB,NE,CLE,0,5500
2016,5,Bobby Rainey,RB,NYG,GB,0,4900
2016,5,Jay Ajayi,RB,MIA,TEN,1,5600
2016,5,Terrance West,RB,BAL,WAS,1,6400
2016,5,LeGarrette Blount,RB,NE,CLE,0,7500
2016,5,Eddie Lacy,RB,GB,NYG,1,7100
2016,5,Jamize Olawale,RB,OAK,SD,1,4500
2016,5,Darren Sproles,RB,PHI,DET,0,5400
2016,5,Frank Gore,RB,IND,CHI,1,6500
2016,5,Bilal Powell,RB,NYJ,PIT,0,5100
2016,5,Damien Williams,RB,MIA,TEN,1,4900
2016,5,Devontae Booker,RB,DEN,ATL,1,5100
2016,5,C.J. Anderson,RB,DEN,ATL,1,8000
2016,5,DeAndre Washington,RB,OAK,SD,1,4700
2016,5,Matt Forte,RB,NYJ,PIT,0,7100
2016,5,James Starks,RB,GB,NYG,1,4700
2016,5,Mike Gillislee,RB,BUF,LARM,0,4800
2016,5,Chris Thompson,RB,WAS,BAL,0,5400
2016,5,Fozzy Whittaker,RB,CAR,TB,1,6100
2016,5,Derrick Henry,RB,TEN,MIA,0,5200
2016,5,Jerick McKinnon,RB,MIN,HOU,1,6200
2016,5,Matt Jones,RB,WAS,BAL,0,6900
2016,5,Isaiah Crowell,RB,CLE,NE,1,6800
2016,5,Zach Zenner,RB,DET,PHI,1,5400
2016,5,Alfred Blue,RB,HOU,MIN,0,4600
2016,5,Kyle Juszczyk,RB,BAL,WAS,1,4500
2016,5,Malcolm Brown,RB,LARM,BUF,1,4500
2016,5,Alfred Morris,RB,DAL,CIN,1,5100
2016,5,Duke Johnson,RB,CLE,NE,1,5300
2016,5,Kenyan Drake,RB,MIA,TEN,1,5100
2016,5,Lamar Miller,RB,HOU,MIN,0,7800
2016,5,Paul Perkins,RB,NYG,GB,0,4500
2016,5,Josh Ferguson,RB,IND,CHI,1,4500
2016,5,Javorius Allen,RB,BAL,WAS,1,5600
2016,5,Ka'Deem Carey,RB,CHI,IND,0,4600
2016,5,Andre Ellington,RB,ARI,SF,0,4500
2016,5,Patrick DiMarco,RB,ATL,DEN,0,4500
2016,5,Rob Kelley,RB,WAS,BAL,0,4700
2016,5,D.J. Foster,RB,NE,CLE,0,4700
2016,5,Aaron Ripkowski,RB,GB,NYG,1,4500
2016,5,Jeremy Hill,RB,CIN,DAL,0,7300
2016,5,Orleans Darkwa,RB,NYG,GB,0,6000
2016,5,Kenneth Dixon,RB,BAL,WAS,1,5800
2016,5,Rod Smith,RB,DAL,CIN,1,4500
2016,5,Peyton Barber,RB,TB,CAR,0,0
2016,5,Jerome Felton,RB,BUF,LARM,0,4500
