"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16864-6639","QB","Tony","","Romo","11.914999961853027","4","6700","DAL@PIT","DAL","PIT","NA","Back","",""
"16864-8005","QB","Alex","","Smith","14.374286106654576","7","6700","KC@CAR","KC","CAR","NA","Head","",""
"16864-25079","WR","Stefon","","Diggs","13.085714067731585","7","6700","MIN@WAS","MIN","WAS","","","",""
"16864-14336","RB","Jacquizz","","Rodgers","9.266666412353516","6","6700","CHI@TB","TB","CHI","NA","Foot","",""
"16864-14257","WR","Randall","","Cobb","11.714285714285714","7","6600","GB@TEN","GB","TEN","","","",""
"16864-22994","QB","Case","","Keenum","14.145000457763672","8","6600","LA@NYJ","LA","NYJ","","","",""
"16864-11512","TE","Jimmy","","Graham","9.02857153756278","7","6600","SEA@NE","SEA","NE","","","",""
"16864-21970","RB","Doug","","Martin","7.199999809265137","2","6500","CHI@TB","TB","CHI","NA","Hamstring","",""
"16864-7283","WR","Jeremy","","Maclin","8.0625","8","6500","KC@CAR","KC","CAR","Q","Groin","",""
"16864-22288","WR","Cole","","Beasley","12.012499809265137","8","6500","DAL@PIT","DAL","PIT","","","",""
"16864-22027","QB","Nick","","Foles","14","2","6500","KC@CAR","KC","CAR","","","",""
"16864-6535","WR","Kenny","","Britt","11.612500190734863","8","6400","LA@NYJ","LA","NYJ","","","",""
"16864-11779","RB","LeGarrette","","Blount","14.875","8","6400","SEA@NE","NE","SEA","","","",""
"16864-28573","WR","Michael","","Thomas","13.850000381469727","8","6400","DEN@NO","NO","DEN","","","",""
"16864-44449","WR","Willie","","Snead","11.142857142857142","7","6400","DEN@NO","NO","DEN","","","",""
"16864-33076","TE","Travis","","Kelce","10.125","8","6300","KC@CAR","KC","CAR","","","",""
"16864-14211","RB","Mark","","Ingram","13.300000190734863","8","6300","DEN@NO","NO","DEN","","","",""
"16864-42028","WR","Will","","Fuller","9.67142813546317","7","6300","HOU@JAC","HOU","JAC","Q","Leg","",""
"16864-54606","WR","John","","Brown","7.857142857142857","7","6200","SF@ARI","ARI","SF","","","",""
"16864-6828","RB","Tim","","Hightower","4.712500095367432","8","6200","DEN@NO","NO","DEN","","","",""
"16864-6863","TE","Delanie","","Walker","10.6875","8","6200","GB@TEN","TEN","GB","","","",""
"16864-29734","RB","Ty","","Montgomery","5.942856924874442","7","6200","GB@TEN","GB","TEN","","","",""
"16864-6739","WR","DeSean","","Jackson","7.824999809265137","8","6100","MIN@WAS","WAS","MIN","Q","Head","",""
"16864-32514","QB","Trevone","","Boykin","5.400000095367432","1","6000","SEA@NE","SEA","NE","","","",""
"16864-21959","QB","Brandon","","Weeden","11.403333028157553","6","6000","HOU@JAC","HOU","JAC","","","",""
"16864-14194","QB","Blaine","","Gabbert","15.539999389648438","5","6000","SF@ARI","SF","ARI","","","",""
"16864-29605","QB","Matt","","Barkley","1.1399999856948853","1","6000","CHI@TB","CHI","TB","","","",""
"16864-54687","RB","Charcandrick","","West","4.828571319580078","7","6000","KC@CAR","KC","CAR","","","",""
"16864-27405","QB","Landry","","Jones","3.484999895095825","4","6000","DAL@PIT","PIT","DAL","","","",""
"16864-30231","QB","Jacoby","","Brissett","9.433333079020182","3","6000","SEA@NE","NE","SEA","IR","Thumb","",""
"16864-25410","QB","Mike","","Glennon","9","1","6000","CHI@TB","TB","CHI","","","",""
"16864-54604","QB","Jimmy","","Garoppolo","8.859999656677246","4","6000","SEA@NE","NE","SEA","","","",""
"16864-38435","QB","Jared","","Goff","0","0","6000","LA@NYJ","LA","NYJ","","","",""
"16864-24755","WR","Jamison","","Crowder","12.362500190734863","8","6000","MIN@WAS","WAS","MIN","","","",""
"16864-7872","QB","Brian","","Hoyer","13.266666412353516","6","6000","CHI@TB","CHI","TB","IR","Forearm","",""
"16864-6844","QB","Shaun","","Hill","10.239999771118164","1","6000","MIN@WAS","MIN","WAS","","","",""
"16864-7859","WR","Julian","","Edelman","8.024999618530273","8","6000","SEA@NE","NE","SEA","","","",""
"16864-6679","QB","Matt","","Schaub","-0.20000000298023224","1","6000","ATL@PHI","ATL","PHI","","","",""
"16864-33463","QB","Paxton","","Lynch","12.0600004196167","2","6000","DEN@NO","DEN","NO","","","",""
"16864-7744","QB","Drew","","Stanton","3.265000104904175","4","6000","SF@ARI","ARI","SF","","","",""
"16864-7778","QB","Matt","","Cassel","0.25","2","6000","GB@TEN","TEN","GB","","","",""
"16864-14704","WR","Chris","","Hogan","7.349999904632568","8","5900","SEA@NE","NE","SEA","","","",""
"16864-62535","WR","Tyrell","","Williams","10.722222222222221","9","5900","MIA@SD","SD","MIA","","","",""
"16864-30837","WR","Jordan","","Matthews","11.212499618530273","8","5900","ATL@PHI","PHI","ATL","","","",""
"16864-27266","WR","Quincy","","Enunwa","9.911110772026909","9","5800","LA@NYJ","NYJ","LA","","","",""
"16864-30244","RB","Matt","","Jones","10.185714721679688","7","5800","MIN@WAS","WAS","MIN","Q","Knee","",""
"16864-14757","RB","Matt","","Asiata","7.25","8","5800","MIN@WAS","MIN","WAS","","","",""
"16864-27776","RB","Tevin","","Coleman","14.557143075125557","7","5800","ATL@PHI","ATL","PHI","Q","Hamstring","",""
"16864-22163","WR","Rishard","","Matthews","9.833333333333334","9","5800","GB@TEN","TEN","GB","","","",""
"16864-27457","WR","Kenny","","Stills","7.412499904632568","8","5700","MIA@SD","MIA","SD","Q","Illness","",""
"16864-54608","RB","Jerick","","McKinnon","5.342857360839844","7","5700","MIN@WAS","MIN","WAS","","","",""
"16864-7965","TE","Antonio","","Gates","8.242857251848493","7","5700","MIA@SD","SD","MIA","","","",""
"16864-40857","RB","Peyton","","Barber","5.650000095367432","4","5700","CHI@TB","TB","CHI","","","",""
"16864-22035","WR","Travis","","Benjamin","9.200000339084202","9","5700","MIA@SD","SD","MIA","","","",""
"16864-21971","TE","Coby","","Fleener","8.512499809265137","8","5600","DEN@NO","NO","DEN","","","",""
"16864-34154","WR","J.J.","","Nelson","7.266666412353516","6","5600","SF@ARI","ARI","SF","","","",""
"16864-33260","WR","DeVante","","Parker","6.971428462437221","7","5600","MIA@SD","MIA","SD","","","",""
"16864-25760","WR","Allen","","Hurns","8.975000381469727","8","5600","HOU@JAC","JAC","HOU","Q","Concussion","",""
"16864-39716","WR","Adam","","Thielen","7.962500095367432","8","5600","MIN@WAS","MIN","WAS","","","",""
"16864-22018","WR","Mohamed","","Sanu","8.677777608235678","9","5600","ATL@PHI","ATL","PHI","","","",""
"16864-22848","QB","Austin","","Davis","7.393333435058594","3","5500","DEN@NO","DEN","NO","NA","Coach's decision","",""
"16864-14317","TE","Julius","","Thomas","7.571428571428571","7","5500","HOU@JAC","JAC","HOU","","","",""
"16864-11425","RB","Ryan","","Mathews","8.949999809265137","8","5500","ATL@PHI","PHI","ATL","","","",""
"16864-31061","RB","T.J.","","Yeldon","8.399999618530273","8","5500","HOU@JAC","JAC","HOU","","","",""
"16864-11500","QB","Colt","","McCoy","8.819999694824219","1","5500","MIN@WAS","WAS","MIN","","","",""
"16864-6808","QB","Matt","","Moore","0.36000001430511475","1","5500","MIA@SD","MIA","SD","","","",""
"16864-7844","QB","Chad","","Henne","0","0","5500","HOU@JAC","JAC","HOU","","","",""
"16864-30733","WR","Cordarrelle","","Patterson","6.362500190734863","8","5500","MIN@WAS","MIN","WAS","","","",""
"16864-29683","WR","Nelson","","Agholor","5.587500095367432","8","5400","ATL@PHI","PHI","ATL","","","",""
"16864-6641","TE","Jason","","Witten","9.175000190734863","8","5400","DAL@PIT","DAL","PIT","","","",""
"16864-14320","RB","Bilal","","Powell","6.755555470784505","9","5400","LA@NYJ","NYJ","LA","","","",""
"16864-10046","RB","Antone","","Smith","4.466666539510091","3","5400","CHI@TB","TB","CHI","O","Knee","",""
"16864-54782","TE","Cameron","","Brate","8.387499809265137","8","5400","CHI@TB","TB","CHI","","","",""
"16864-31241","WR","Sammie","","Coates","8.125","8","5400","DAL@PIT","PIT","DAL","","","",""
"16864-26458","WR","Tavon","","Austin","8.550000190734863","8","5400","LA@NYJ","LA","NYJ","","","",""
"16864-8050","TE","Zach","","Miller","9.662500381469727","8","5400","CHI@TB","CHI","TB","","","",""
"16864-28930","RB","James","","White","8.625","8","5400","SEA@NE","NE","SEA","","","",""
"16864-40845","TE","Hunter","","Henry","8.714285714285714","7","5400","MIA@SD","SD","MIA","NA","Knee","",""
"16864-6774","WR","Pierre","","Garcon","7.949999809265137","8","5400","MIN@WAS","WAS","MIN","","","",""
"16864-6627","WR","Ted","","Ginn Jr.","5","8","5300","KC@CAR","CAR","KC","","","",""
"16864-6448","TE","Martellus","","Bennett","10.037500381469727","8","5300","SEA@NE","NE","SEA","","","",""
"16864-39280","RB","Derrick","","Henry","5.412499904632568","8","5300","GB@TEN","TEN","GB","Q","Calf","",""
"16864-33766","RB","Rob","","Kelley","5.266666730244954","6","5300","MIN@WAS","WAS","MIN","","","",""
"16864-14645","WR","Dontrelle","","Inman","6.222222222222222","9","5300","MIA@SD","SD","MIA","","","",""
"16864-62538","WR","Cameron","","Meredith","8.283333460489908","6","5300","CHI@TB","CHI","TB","","","",""
"16864-11609","RB","James","","Starks","3.049999952316284","4","5300","GB@TEN","GB","TEN","NA","Knee","",""
"16864-52560","WR","Geronimo","","Allison","4.550000190734863","2","5200","GB@TEN","GB","TEN","","","",""
"16864-14198","QB","Christian","","Ponder","0","0","5200","SF@ARI","SF","ARI","NA","Coach's decision","",""
"16864-29540","RB","Terron","","Ward","4.599999904632568","2","5200","ATL@PHI","ATL","PHI","","","",""
