Year,Week,Name,Pos,Team,Opp,H_A,Salary
2016,13,Drew Brees,QB,NO,DET,1,9300
2016,13,Le'Veon Bell,RB,PIT,NYG,1,9300
2016,13,David Johnson,RB,ARI,WAS,1,9200
2016,13,Antonio Brown,WR,PIT,NYG,1,9000
2016,13,Odell Beckham Jr.,WR,NYG,PIT,0,9000
2016,13,Matt Ryan,QB,ATL,KC,1,8600
2016,13,Tom Brady,QB,NE,LARM,1,8500
2016,13,Mike Evans,WR,TB,SD,0,8500
2016,13,Aaron Rodgers,QB,GB,HOU,1,8500
2016,13,LeSean McCoy,RB,BUF,OAK,0,8400
2016,13,Ben Roethlisberger,QB,PIT,NYG,1,8300
2016,13,Matthew Stafford,QB,DET,NO,0,8300
2016,13,Julio Jones,WR,ATL,KC,1,8300
2016,13,Philip Rivers,QB,SD,TB,1,8200
2016,13,Derek Carr,QB,OAK,BUF,1,8100
2016,13,Melvin Gordon,RB,SD,TB,1,8000
2016,13,Eli Manning,QB,NYG,PIT,0,7900
2016,13,Amari Cooper,WR,OAK,BUF,1,7800
2016,13,Colin Kaepernick,QB,SF,CHI,0,7800
2016,13,Russell Wilson,QB,SEA,CAR,1,7700
2016,13,Jameis Winston,QB,TB,SD,0,7600
2016,13,Cam Newton,QB,CAR,SEA,0,7600
2016,13,Kirk Cousins,QB,WAS,ARI,0,7500
2016,13,Jordan Reed,TE,WAS,ARI,0,7500
2016,13,Jay Ajayi,RB,MIA,BAL,0,7500
2016,13,Tyrod Taylor,QB,BUF,OAK,0,7400
2016,13,Jordan Howard,RB,CHI,SF,1,7400
2016,13,Devonta Freeman,RB,ATL,KC,1,7400
2016,13,Spencer Ware,RB,KC,ATL,0,7400
2016,13,Jordy Nelson,WR,GB,HOU,1,7400
2016,13,A.J. Green,WR,CIN,PHI,1,7400
2016,13,Rob Gronkowski,TE,NE,LARM,1,7300
2016,13,Ryan Tannehill,QB,MIA,BAL,0,7300
2016,13,Lamar Miller,RB,HOU,GB,0,7300
2016,13,Joe Flacco,QB,BAL,MIA,1,7300
2016,13,Andy Dalton,QB,CIN,PHI,1,7200
2016,13,Demaryius Thomas,WR,DEN,JAC,0,7100
2016,13,Blake Bortles,QB,JAC,DEN,1,7100
2016,13,Trevor Siemian,QB,DEN,JAC,0,7100
2016,13,Carson Palmer,QB,ARI,WAS,1,7000
2016,13,Larry Fitzgerald,WR,ARI,WAS,1,7000
2016,13,Alex Smith,QB,KC,ATL,0,7000
2016,13,Mark Ingram,RB,NO,DET,1,7000
2016,13,Allen Robinson,WR,JAC,DEN,1,7000
2016,13,Doug Baldwin,WR,SEA,CAR,1,6900
2016,13,Kenny Britt,WR,LARM,NE,0,6900
2016,13,Michael Thomas,WR,NO,DET,1,6900
2016,13,Kelvin Benjamin,WR,CAR,SEA,0,6800
2016,13,Todd Gurley,RB,LARM,NE,0,6800
2016,13,Tyler Eifert,TE,CIN,PHI,1,6800
2016,13,Brandin Cooks,WR,NO,DET,1,6800
2016,13,Davante Adams,WR,GB,HOU,1,6800
2016,13,DeAndre Hopkins,WR,HOU,GB,0,6700
2016,13,Latavius Murray,RB,OAK,BUF,1,6700
2016,13,Carson Wentz,QB,PHI,CIN,0,6700
2016,13,Carlos Hyde,RB,SF,CHI,0,6700
2016,13,Tyrell Williams,WR,SD,TB,1,6600
2016,13,Jamison Crowder,WR,WAS,ARI,0,6600
2016,13,Thomas Rawls,RB,SEA,CAR,1,6600
2016,13,LeGarrette Blount,RB,NE,LARM,1,6600
2016,13,Julian Edelman,WR,NE,LARM,1,6600
2016,13,Willie Snead,WR,NO,DET,1,6500
2016,13,Mike Wallace,WR,BAL,MIA,1,6500
2016,13,Doug Martin,RB,TB,SD,0,6500
2016,13,DeVante Parker,WR,MIA,BAL,0,6500
2016,13,Jared Goff,QB,LARM,NE,0,6500
2016,13,Theo Riddick,RB,DET,NO,0,6500
2016,13,Jay Cutler,QB,CHI,SF,1,6500
2016,13,Michael Crabtree,WR,OAK,BUF,1,6400
2016,13,Emmanuel Sanders,WR,DEN,JAC,0,6400
2016,13,Jimmy Graham,TE,SEA,CAR,1,6400
2016,13,Devontae Booker,RB,DEN,JAC,0,6400
2016,13,Jarvis Landry,WR,MIA,BAL,0,6400
2016,13,Sammy Watkins,WR,BUF,OAK,0,6300
2016,13,Travis Kelce,TE,KC,ATL,0,6300
2016,13,Brock Osweiler,QB,HOU,GB,0,6300
2016,13,Jonathan Stewart,RB,CAR,SEA,0,6300
2016,13,Tim Hightower,RB,NO,DET,1,6300
2016,13,Randall Cobb,WR,GB,HOU,1,6300
2016,13,Greg Olsen,TE,CAR,SEA,0,6200
2016,13,Rashad Jennings,RB,NYG,PIT,0,6200
2016,13,Steve Smith Sr.,WR,BAL,MIA,1,6100
2016,13,Rob Kelley,RB,WAS,ARI,0,6100
2016,13,Jimmy Garoppolo,QB,NE,LARM,1,6000
2016,13,Brandon Weeden,QB,HOU,GB,0,6000
2016,13,Case Keenum,QB,LARM,NE,0,6000
2016,13,Nick Foles,QB,KC,ATL,0,6000
2016,13,Matt Schaub,QB,ATL,KC,1,6000
2016,13,Jacoby Brissett,QB,NE,LARM,1,6000
2016,13,Drew Stanton,QB,ARI,WAS,1,6000
2016,13,DeSean Jackson,WR,WAS,ARI,0,6000
2016,13,Chris Ivory,RB,JAC,DEN,1,6000
2016,13,Paxton Lynch,QB,DEN,JAC,0,6000
2016,13,Brian Hoyer,QB,CHI,SF,1,6000
2016,13,Trevone Boykin,QB,SEA,CAR,1,6000
2016,13,Landry Jones,QB,PIT,NYG,1,6000
2016,13,Mike Glennon,QB,TB,SD,0,6000
2016,13,Blaine Gabbert,QB,SF,CHI,0,6000
2016,13,Matt Barkley,QB,CHI,SF,1,6000
2016,13,Ryan Mallett,QB,BAL,MIA,1,6000
