Year,Week,Name,Pos,Team,Opp,H_A,Salary
2016,6,David Johnson,RB,ARI,NYJ,1,9100
2016,6,Jay Ajayi,RB,MIA,PIT,1,5800
2016,6,LeSean McCoy,RB,BUF,SF,1,8200
2016,6,Lamar Miller,RB,HOU,IND,1,7900
2016,6,Terrance West,RB,BAL,NYG,0,6500
2016,6,Spencer Ware,RB,KC,OAK,0,5700
2016,6,James White,RB,NE,CIN,1,5700
2016,6,Christine Michael,RB,GB,DAL,1,7400
2016,6,Jonathan Stewart,RB,CAR,NO,0,6300
2016,6,Matt Jones,RB,WAS,PHI,1,6500
2016,6,Ezekiel Elliott,RB,DAL,GB,0,8100
2016,6,Le'Veon Bell,RB,PIT,MIA,0,9300
2016,6,Duke Johnson,RB,CLE,TEN,0,5100
2016,6,LeGarrette Blount,RB,NE,CIN,1,7000
2016,6,Ty Montgomery,RB,GB,DAL,1,4500
2016,6,DeMarco Murray,RB,TEN,CLE,1,8800
2016,6,Mike Gillislee,RB,BUF,SF,1,4900
2016,6,Todd Gurley,RB,LARM,DET,0,7900
2016,6,Jamaal Charles,RB,KC,OAK,0,7100
2016,6,Giovani Bernard,RB,CIN,NE,0,5700
2016,6,Frank Gore,RB,IND,HOU,0,6300
2016,6,Jordan Howard,RB,CHI,JAC,1,7700
2016,6,Chris Ivory,RB,JAC,CHI,0,5400
2016,6,Melvin Gordon,RB,SD,DEN,1,7100
2016,6,C.J. Anderson,RB,DEN,SD,0,7500
2016,6,Damien Williams,RB,MIA,PIT,1,4600
2016,6,Zach Zenner,RB,DET,LARM,1,5300
2016,6,Wendell Smallwood,RB,PHI,WAS,0,5300
2016,6,Chris Thompson,RB,WAS,PHI,1,5200
2016,6,Eddie Lacy,RB,GB,DAL,1,7000
2016,6,Alex Collins,RB,SEA,ATL,1,4500
2016,6,Mark Ingram,RB,NO,CAR,1,6700
2016,6,Devonta Freeman,RB,ATL,SEA,0,7100
2016,6,Devontae Booker,RB,DEN,SD,0,5000
2016,6,Ryan Mathews,RB,PHI,WAS,0,6500
2016,6,Rob Kelley,RB,WAS,PHI,1,4800
2016,6,Rashad Jennings,RB,NYG,BAL,1,5700
2016,6,Carlos Hyde,RB,SF,BUF,0,7300
2016,6,Ka'Deem Carey,RB,CHI,JAC,1,4500
2016,6,Travaris Cadet,RB,NO,CAR,1,5000
