Year,Week,Name,Pos,Team,Opp,H_A,Salary
2016,11,Rob Kelley,RB,WAS,GB,1,5400
2016,11,David Johnson,RB,ARI,MIN,0,8300
2016,11,Le'Veon Bell,RB,PIT,CLE,0,9100
2016,11,Rashad Jennings,RB,NYG,CHI,1,5600
2016,11,Lamar Miller,RB,HOU,OAK,0,7100
2016,11,Tim Hightower,RB,NO,CAR,0,6000
2016,11,Jamize Olawale,RB,OAK,HOU,1,4500
2016,11,James Starks,RB,GB,WAS,0,5500
2016,11,DeMarco Murray,RB,TEN,IND,0,8500
2016,11,James White,RB,NE,SF,0,5900
2016,11,C.J. Prosise,RB,SEA,PHI,1,4900
2016,11,Ezekiel Elliott,RB,DAL,BAL,1,8700
2016,11,Frank Gore,RB,IND,TEN,1,6300
2016,11,Todd Gurley,RB,LARM,MIA,1,6700
2016,11,Jalen Richard,RB,OAK,HOU,1,5000
2016,11,Carlos Hyde,RB,SF,NE,1,6500
2016,11,LeGarrette Blount,RB,NE,SF,0,7300
2016,11,Chris Ivory,RB,JAC,DET,0,5400
2016,11,Theo Riddick,RB,DET,JAC,1,6700
2016,11,Doug Martin,RB,TB,KC,0,6500
2016,11,Terrance West,RB,BAL,DAL,0,6200
2016,11,Shaun Draughn,RB,SF,NE,1,4600
2016,11,Latavius Murray,RB,OAK,HOU,1,6400
2016,11,LeSean McCoy,RB,BUF,CIN,0,7500
2016,11,Jeremy Langford,RB,CHI,NYG,0,4800
2016,11,Jordan Howard,RB,CHI,NYG,0,6800
2016,11,Jonathan Stewart,RB,CAR,NO,1,7000
2016,11,Thomas Rawls,RB,SEA,PHI,1,5100
2016,11,Wendell Smallwood,RB,PHI,SEA,0,4500
2016,11,Jay Ajayi,RB,MIA,LARM,0,7600
2016,11,Spencer Ware,RB,KC,TB,1,7700
2016,11,Matt Asiata,RB,MIN,ARI,1,5800
2016,11,Mark Ingram,RB,NO,CAR,0,6100
2016,11,Giovani Bernard,RB,CIN,BUF,1,6000
2016,11,Jeremy Hill,RB,CIN,BUF,1,5900
2016,11,Mike Gillislee,RB,BUF,CIN,0,5600
2016,11,Duke Johnson,RB,CLE,PIT,1,5000
2016,11,Dion Lewis,RB,NE,SF,0,4900
2016,11,Robert Turbin,RB,IND,TEN,1,4500
2016,11,Ty Montgomery,RB,GB,WAS,0,5200
2016,11,Charcandrick West,RB,KC,TB,1,5400
2016,11,Isaiah Crowell,RB,CLE,PIT,1,6200
2016,11,Kyle Juszczyk,RB,BAL,DAL,0,4500
2016,11,Jerick McKinnon,RB,MIN,ARI,1,5400
2016,11,Paul Perkins,RB,NYG,CHI,1,4500
2016,11,T.J. Yeldon,RB,JAC,DET,0,5400
2016,11,Kenneth Dixon,RB,BAL,DAL,0,4800
2016,11,Dwayne Washington,RB,DET,JAC,1,4500
2016,11,Ryan Mathews,RB,PHI,SEA,0,5500
2016,11,Reggie Bush,RB,BUF,CIN,0,5200
2016,11,Jonathan Williams,RB,BUF,CIN,0,4500
2016,11,Denard Robinson,RB,JAC,DET,0,4500
2016,11,Andre Ellington,RB,ARI,MIN,0,4500
2016,11,Lance Dunbar,RB,DAL,BAL,1,4500
2016,11,Darren Sproles,RB,PHI,SEA,0,5300
2016,11,Chris Thompson,RB,WAS,GB,1,5100
2016,11,John Kuhn,RB,NO,CAR,0,4500
2016,11,Peyton Barber,RB,TB,KC,0,5100
2016,11,Mike Tolbert,RB,CAR,NO,1,4500
2016,11,Rex Burkhead,RB,CIN,BUF,1,4500
2016,11,Kenjon Barner,RB,PHI,SEA,0,4700
2016,11,Benny Cunningham,RB,LARM,MIA,1,4500
2016,11,Ronnie Hillman,RB,MIN,ARI,1,4600
2016,11,Aaron Ripkowski,RB,GB,WAS,0,4600
2016,11,Mike James,RB,TB,KC,0,4600
2016,11,Marcus Murphy,RB,NO,CAR,0,4500
2016,11,Paul Lasike,RB,CHI,NYG,0,4500
2016,11,DuJuan Harris,RB,SF,NE,1,5300
2016,11,Troymaine Pope,RB,SEA,PHI,1,4500
2016,11,Alfred Morris,RB,DAL,BAL,1,4600
2016,11,Will Tukuafu,RB,SEA,PHI,1,4500
2016,11,Kenyan Drake,RB,MIA,LARM,0,4500
2016,11,Jerome Felton,RB,BUF,CIN,0,4500
2016,11,Jay Prosch,RB,HOU,OAK,0,4500
2016,11,James Develin,RB,NE,SF,0,4500
2016,11,Michael Burton,RB,DET,JAC,1,4500
2016,11,Ka'Deem Carey,RB,CHI,NYG,0,4500
2016,11,Josh Ferguson,RB,IND,TEN,1,4500
2016,11,Zach Line,RB,MIN,ARI,1,4500
2016,11,Orleans Darkwa,RB,NYG,CHI,1,4500
2016,11,Damien Williams,RB,MIA,LARM,0,4700
2016,11,Corey Grant,RB,JAC,DET,0,4500
2016,11,Jordan Todman,RB,IND,TEN,1,4500
2016,11,Malcolm Brown,RB,LARM,MIA,1,4500
2016,11,Chase Reynolds,RB,LARM,MIA,1,4500
2016,11,Stepfan Taylor,RB,ARI,MIN,0,4500
2016,11,Antonio Andrews,RB,TEN,IND,0,4500
2016,11,Anthony Sherman,RB,KC,TB,1,4500
2016,11,Brandon Bolden,RB,NE,SF,0,4500
2016,11,Bobby Rainey,RB,NYG,CHI,1,4500
2016,11,DeAndre Washington,RB,OAK,HOU,1,4800
2016,11,Javorius Allen,RB,BAL,DAL,0,4500
2016,11,Zach Zenner,RB,DET,JAC,1,4500
2016,11,Keith Smith,RB,DAL,BAL,1,4500
2016,11,Roosevelt Nix,RB,PIT,CLE,0,4500
2016,11,Ryan Hewitt,RB,CIN,BUF,1,4500
2016,11,Kerwynn Williams,RB,ARI,MIN,0,4500
2016,11,George Atkinson,RB,CLE,PIT,1,4500
2016,11,Taiwan Jones,RB,OAK,HOU,1,4500
2016,11,Fozzy Whittaker,RB,CAR,NO,1,4500
2016,11,Derrick Henry,RB,TEN,IND,0,4900
2016,11,Jalston Fowler,RB,TEN,IND,0,4500
2016,11,Knile Davis,RB,KC,TB,1,4700
2016,11,Fitzgerald Toussaint,RB,PIT,CLE,0,4500
2016,11,Akeem Hunt,RB,HOU,OAK,0,4500
2016,11,Tyler Ervin,RB,HOU,OAK,0,4500
2016,11,Dez Bryant,WR,DAL,BAL,1,7400
2016,11,Pierre Garcon,WR,WAS,GB,1,5700
2016,11,Steve Smith,WR,BAL,DAL,0,5500
2016,11,Julian Edelman,WR,NE,SF,0,6100
2016,11,T.Y. Hilton,WR,IND,TEN,1,7900
2016,11,DeVante Parker,WR,MIA,LARM,0,5800
2016,11,Malcolm Mitchell,WR,NE,SF,0,4500
2016,11,Jamison Crowder,WR,WAS,GB,1,6300
2016,11,Doug Baldwin,WR,SEA,PHI,1,6700
2016,11,Rishard Matthews,WR,TEN,IND,0,6000
2016,11,Adam Thielen,WR,MIN,ARI,1,5900
2016,11,Tajae Sharpe,WR,TEN,IND,0,5100
2016,11,Tyler Boyd,WR,CIN,BUF,1,4500
2016,11,Cole Beasley,WR,DAL,BAL,1,6400
2016,11,Dorial Green-Beckham,WR,PHI,SEA,0,4800
2016,11,Marqise Lee,WR,JAC,DET,0,4800
2016,11,Amari Cooper,WR,OAK,HOU,1,7700
2016,11,Mike Evans,WR,TB,KC,0,8000
2016,11,Sterling Shepard,WR,NYG,CHI,1,5900
2016,11,Ted Ginn Jr.,WR,CAR,NO,1,5100
2016,11,Cordarrelle Patterson,WR,MIN,ARI,1,5300
2016,11,DeSean Jackson,WR,WAS,GB,1,6000
2016,11,Terrelle Pryor,WR,CLE,PIT,1,7200
2016,11,Donte Moncrief,WR,IND,TEN,1,6500
2016,11,Antonio Brown,WR,PIT,CLE,0,8900
2016,11,Jarvis Landry,WR,MIA,LARM,0,6900
2016,11,Braxton Miller,WR,HOU,OAK,0,4500
2016,11,Jordy Nelson,WR,GB,WAS,0,7800
2016,11,Mike Wallace,WR,BAL,DAL,0,6800
2016,11,Albert Wilson,WR,KC,TB,1,4800
2016,11,Randall Cobb,WR,GB,WAS,0,6500
2016,11,Allen Robinson,WR,JAC,DET,0,7300
2016,11,Michael Thomas,WR,NO,CAR,0,6500
2016,11,Larry Fitzgerald,WR,ARI,MIN,0,7000
2016,11,Andre Roberts,WR,DET,JAC,1,4500
2016,11,Cecil Shorts,WR,TB,KC,0,4500
2016,11,Brandin Cooks,WR,NO,CAR,0,7400
2016,11,Jordan Matthews,WR,PHI,SEA,0,5800
2016,11,DeAndre Hopkins,WR,HOU,OAK,0,7100
2016,11,Tyreek Hill,WR,KC,TB,1,5400
2016,11,Brandon Coleman,WR,NO,CAR,0,4600
2016,11,Danny Amendola,WR,NE,SF,0,4500
2016,11,Kendall Wright,WR,TEN,IND,0,4700
2016,11,Kelvin Benjamin,WR,CAR,NO,1,7100
2016,11,Odell Beckham Jr.,WR,NYG,CHI,1,9000
2016,11,Cameron Meredith,WR,CHI,NYG,0,5600
2016,11,Russell Shepard,WR,TB,KC,0,4500
2016,11,Kenny Britt,WR,LARM,MIA,1,6800
2016,11,Adam Humphries,WR,TB,KC,0,5300
2016,11,Anquan Boldin,WR,DET,JAC,1,5200
2016,11,Stefon Diggs,WR,MIN,ARI,1,6800
2016,11,Brice Butler,WR,DAL,BAL,1,4700
2016,11,Corey Coleman,WR,CLE,PIT,1,5400
2016,11,Brandon Tate,WR,BUF,CIN,0,4500
2016,11,Davante Adams,WR,GB,WAS,0,7600
2016,11,Robert Woods,WR,BUF,CIN,0,5400
2016,11,Phillip Dorsett,WR,IND,TEN,1,4700
2016,11,Willie Snead,WR,NO,CAR,0,6700
2016,11,Victor Cruz,WR,NYG,CHI,1,4900
2016,11,Kenny Stills,WR,MIA,LARM,0,5900
2016,11,Brandon LaFell,WR,CIN,BUF,1,5300
2016,11,Kamar Aiken,WR,BAL,DAL,0,4900
2016,11,Tyler Lockett,WR,SEA,PHI,1,5000
2016,11,Chris Conley,WR,KC,TB,1,4800
2016,11,Chris Harper,WR,SF,NE,1,4500
2016,11,Devin Funchess,WR,CAR,NO,1,5200
2016,11,Josh Bellamy,WR,CHI,NYG,0,4500
2016,11,Eli Rogers,WR,PIT,CLE,0,5500
2016,11,Marquess Wilson,WR,CHI,NYG,0,4500
2016,11,Jermaine Kearse,WR,SEA,PHI,1,4600
2016,11,Brian Quick,WR,LARM,MIA,1,4500
2016,11,Tavon Austin,WR,LARM,MIA,1,5100
2016,11,James Wright,WR,CIN,BUF,1,4500
2016,11,Michael Floyd,WR,ARI,MIN,0,4900
2016,11,Quinton Patton,WR,SF,NE,1,4600
2016,11,Percy Harvin,WR,BUF,CIN,0,4900
2016,11,Marquise Goodwin,WR,BUF,CIN,0,5300
2016,11,Andrew Hawkins,WR,CLE,PIT,1,4500
2016,11,Eddie Royal,WR,CHI,NYG,0,5200
2016,11,Will Fuller,WR,HOU,OAK,0,6100
2016,11,Keith Mumphery,WR,HOU,OAK,0,4500
2016,11,Cobi Hamilton,WR,PIT,CLE,0,4500
2016,11,Michael Crabtree,WR,OAK,HOU,1,6600
2016,11,Nelson Agholor,WR,PHI,SEA,0,5200
2016,11,Marvin Jones,WR,DET,JAC,1,6500
2016,11,Maurice Harris,WR,WAS,GB,1,
