Year,Week,Name,Pos,Team,Opp,H_A,Salary
2016,3,Devonta Freeman,RB,ATL,NO,0,7400
2016,3,Tevin Coleman,RB,ATL,NO,0,6400
2016,3,LeSean McCoy,RB,BUF,ARI,1,6700
2016,3,Carlos Hyde,RB,SF,SEA,0,6100
2016,3,David Johnson,RB,ARI,BUF,0,8400
2016,3,Christine Michael,RB,GB,DET,1,6900
2016,3,DeMarco Murray,RB,TEN,OAK,1,7700
2016,3,LeGarrette Blount,RB,NE,HOU,1,6500
2016,3,Jeremy Hill,RB,CIN,DEN,1,6400
2016,3,Darren Sproles,RB,PHI,PIT,1,5200
2016,3,Charles Sims,RB,TB,LARM,1,6300
2016,3,Mark Ingram,RB,NO,ATL,1,6900
2016,3,Todd Gurley,RB,LARM,TB,0,8300
2016,3,Ezekiel Elliott,RB,DAL,CHI,1,8100
2016,3,Melvin Gordon,RB,SD,IND,0,7100
2016,3,Frank Gore,RB,IND,SD,1,5700
2016,3,Shane Vereen,RB,NYG,WAS,1,5200
2016,3,Wendell Smallwood,RB,PHI,PIT,1,4500
2016,3,Orleans Darkwa,RB,NYG,WAS,1,4500
2016,3,Lamar Miller,RB,HOU,NE,0,7000
2016,3,Jordan Howard,RB,CHI,DAL,0,5300
2016,3,Eddie Lacy,RB,GB,DET,1,7300
2016,3,Duke Johnson,RB,CLE,MIA,0,5100
2016,3,Latavius Murray,RB,OAK,TEN,0,7100
2016,3,Kenjon Barner,RB,PHI,PIT,1,4800
2016,3,Damien Williams,RB,MIA,CLE,1,4500
2016,3,Matt Jones,RB,WAS,NYG,0,6400
2016,3,Jay Ajayi,RB,MIA,CLE,1,5700
2016,3,Alfred Morris,RB,DAL,CHI,1,5400
2016,3,Theo Riddick,RB,DET,GB,0,6400
2016,3,Bilal Powell,RB,NYJ,KC,0,4900
2016,3,Fozzy Whittaker,RB,CAR,MIN,1,6300
2016,3,Isaiah Crowell,RB,CLE,MIA,0,6900
2016,3,Matt Forte,RB,NYJ,KC,0,7500
2016,3,Jerick McKinnon,RB,MIN,CAR,0,5300
2016,3,Giovani Bernard,RB,CIN,DEN,1,5700
2016,3,Robert Turbin,RB,IND,SD,1,5100
2016,3,Spencer Ware,RB,KC,NYJ,1,6300
2016,3,DeAndre Washington,RB,OAK,TEN,0,4900
2016,3,DeAngelo Williams,RB,PIT,PHI,0,8800
2016,3,John Kuhn,RB,NO,ATL,1,4500
2016,3,Cameron Artis-Payne,RB,CAR,MIN,1,4800
2016,3,Justin Forsett,RB,DET,GB,0,6500
2016,3,Travaris Cadet,RB,NO,ATL,1,5100
2016,3,Lance Dunbar,RB,DAL,CHI,1,4800
2016,3,Terrance West,RB,BAL,JAC,0,5200
2016,3,Kenyan Drake,RB,MIA,CLE,1,5900
2016,3,Jeremy Langford,RB,CHI,DAL,0,6500
2016,3,Josh Ferguson,RB,IND,SD,1,4500
2016,3,C.J. Anderson,RB,DEN,CIN,0,8000
2016,3,Jalen Richard,RB,OAK,TEN,0,4900
2016,3,Derrick Henry,RB,TEN,OAK,1,5500
2016,3,Benny Cunningham,RB,LARM,TB,0,4800
2016,3,Alex Collins,RB,SEA,SF,1,4500
