"QB","RB","RB","WR","WR","WR","TE","K","D","","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"","","","","","","","","","","17202-22037:Lamar Miller","17202-22037","RB","Lamar","","Miller","11.75","12","7200","HOU@IND","HOU","IND","","","",""
"","","","","","","","","","","17202-6759:Brandon Marshall","17202-6759","WR","Brandon","","Marshall","9.633333206176757","12","7200","NYJ@SF","NYJ","SF","","","",""
"","","","","","","","","","","17202-46882:Jay Ajayi","17202-46882","RB","Jay","","Ajayi","13.918182373046875","11","7200","ARI@MIA","MIA","ARI","","","",""
"","","","","","","","","","","17202-16606:DeAndre Hopkins","17202-16606","WR","DeAndre","","Hopkins","9.983333587646484","12","7100","HOU@IND","HOU","IND","","","",""
"","","","","","","","","","","17202-21948:Ryan Tannehill","17202-21948","QB","Ryan","","Tannehill","15.283332824707031","12","7100","ARI@MIA","MIA","ARI","","","",""
"","","","","","","","","","","17202-6893:Jordy Nelson","17202-6893","WR","Jordy","","Nelson","14.97499974568685","12","7100","SEA@GB","GB","SEA","","","",""
"","","","","","","","","","","17202-14211:Mark Ingram","17202-14211","RB","Mark","","Ingram","13.308333079020181","12","7100","NO@TB","NO","TB","","","",""
"","","","","","","","","","","17202-14626:Doug Baldwin","17202-14626","WR","Doug","","Baldwin","12.616666158040365","12","7000","SEA@GB","SEA","GB","","","",""
"","","","","","","","","","","17202-28434:Trevor Siemian","17202-28434","QB","Trevor","","Siemian","15.263999938964843","10","7000","DEN@TEN","DEN","TEN","Q","Foot","",""
"","","","","","","","","","","17202-11414:Sam Bradford","17202-11414","QB","Sam","","Bradford","13.743635697798295","11","6900","MIN@JAC","MIN","JAC","","","",""
"","","","","","","","","","","17202-11432:Demaryius Thomas","17202-11432","WR","Demaryius","","Thomas","11.741666158040365","12","6900","DEN@TEN","DEN","TEN","","","",""
"","","","","","","","","","","17202-6535:Kenny Britt","17202-6535","WR","Kenny","","Britt","11.791666666666666","12","6900","ATL@LA","LA","ATL","","","",""
"","","","","","","","","","","17202-34308:Blake Bortles","17202-34308","QB","Blake","","Bortles","18.541666666666668","12","6900","MIN@JAC","JAC","MIN","","","",""
"","","","","","","","","","","17202-31397:Jeremy Hill","17202-31397","RB","Jeremy","","Hill","10.97499974568685","12","6900","CIN@CLE","CIN","CLE","","","",""
"","","","","","","","","","","17202-30447:Todd Gurley","17202-30447","RB","Todd","","Gurley","10.908332824707031","12","6900","ATL@LA","LA","ATL","","","",""
"","","","","","","","","","","17202-28473:Carlos Hyde","17202-28473","RB","Carlos","","Hyde","13.419999694824218","10","6900","NYJ@SF","SF","NYJ","","","",""
"","","","","","","","","","","17202-62535:Tyrell Williams","17202-62535","WR","Tyrell","","Williams","12.183333079020181","12","6800","SD@CAR","SD","CAR","","","",""
"","","","","","","","","","","17202-24929:Kelvin Benjamin","17202-24929","WR","Kelvin","","Benjamin","10.699999491373697","12","6800","SD@CAR","CAR","SD","","","",""
"","","","","","","","","","","17202-6883:Larry Fitzgerald","17202-6883","WR","Larry","","Fitzgerald","13.541666666666666","12","6800","ARI@MIA","ARI","MIA","","","",""
"","","","","","","","","","","17202-33260:DeVante Parker","17202-33260","WR","DeVante","","Parker","8.936363913796164","11","6700","ARI@MIA","MIA","ARI","","","",""
"","","","","","","","","","","17202-38435:Jared Goff","17202-38435","QB","Jared","","Goff","10.786666870117187","3","6700","ATL@LA","LA","ATL","","","",""
"","","","","","","","","","","17202-33557:Tyler Eifert","17202-33557","TE","Tyler","","Eifert","10.533333460489908","6","6700","CIN@CLE","CIN","CLE","","","",""
"","","","","","","","","","","17202-15212:Terrelle Pryor Sr.","17202-15212","WR","Terrelle","","Pryor Sr.","12.686667124430338","12","6700","CIN@CLE","CLE","CIN","","","",""
"","","","","","","","","","","17202-11512:Jimmy Graham","17202-11512","TE","Jimmy","","Graham","10.949999491373697","12","6600","SEA@GB","SEA","GB","","","",""
"","","","","","","","","","","17202-25079:Stefon Diggs","17202-25079","WR","Stefon","","Diggs","13.110000610351562","10","6600","MIN@JAC","MIN","JAC","","","",""
"","","","","","","","","","","17202-39580:Devontae Booker","17202-39580","RB","Devontae","","Booker","7.400000254313151","12","6600","DEN@TEN","DEN","TEN","","","",""
"","","","","","","","","","","17202-28573:Michael Thomas","17202-28573","WR","Michael","","Thomas","12.966667175292968","12","6600","NO@TB","NO","TB","","","",""
"","","","","","","","","","","17202-28643:Allen Robinson","17202-28643","WR","Allen","","Robinson","10.683333079020181","12","6600","MIN@JAC","JAC","MIN","","","",""
"","","","","","","","","","","17202-28095:Thomas Rawls","17202-28095","RB","Thomas","","Rawls","9.6","5","6500","SEA@GB","SEA","GB","","","",""
"","","","","","","","","","","17202-21994:Brock Osweiler","17202-21994","QB","Brock","","Osweiler","13.305000305175781","12","6500","HOU@IND","HOU","IND","","","",""
"","","","","","","","","","","17202-6703:Adrian Peterson","17202-6703","RB","Adrian","","Peterson","3.3499999046325683","2","6500","MIN@JAC","MIN","JAC","IR","Knee - meniscus","",""
"","","","","","","","","","","17202-6733:Jonathan Stewart","17202-6733","RB","Jonathan","","Stewart","10.655555725097656","9","6500","SD@CAR","CAR","SD","","","",""
"","","","","","","","","","","17202-70324:Carson Wentz","17202-70324","QB","Carson","","Wentz","14.161666870117187","12","6500","WAS@PHI","PHI","WAS","","","",""
