"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17288-7859","WR","Julian","","Edelman","10.13076899601863","13","6400","NE@DEN","NE","DEN","","","",""
"17288-15212","WR","Terrelle","","Pryor Sr.","11.77230717585637","13","6400","CLE@BUF","CLE","BUF","","","",""
"17288-14211","RB","Mark","","Ingram","12.5","13","6400","NO@ARI","NO","ARI","Q","Toe","",""
"17288-28573","WR","Michael","","Thomas","12.966667175292968","12","6400","NO@ARI","NO","ARI","Q","Foot","",""
"17288-25079","WR","Stefon","","Diggs","12.554546009410511","11","6300","IND@MIN","MIN","IND","Q","Knee","",""
"17288-11779","RB","LeGarrette","","Blount","14.784615149864784","13","6300","NE@DEN","NE","DEN","","","",""
"17288-6703","RB","Adrian","","Peterson","3.3499999046325683","2","6300","IND@MIN","MIN","IND","IR","Knee - meniscus","",""
"17288-6728","RB","Jamaal","","Charles","4.133333206176758","3","6300","TEN@KC","KC","TEN","IR","Knee","",""
"17288-22288","WR","Cole","","Beasley","10.292307927058292","13","6300","TB@DAL","DAL","TB","","","",""
"17288-29501","WR","Brandin","","Cooks","13.125","12","6300","NO@ARI","NO","ARI","","","",""
"17288-28643","WR","Allen","","Robinson","10.030768761268028","13","6300","JAC@HOU","JAC","HOU","","","",""
"17288-6735","WR","Steve","","Smith Sr.","10.327272588556463","11","6200","PHI@BAL","BAL","PHI","","","",""
"17288-30428","WR","Malcolm","","Mitchell","7.380000305175781","10","6200","NE@DEN","NE","DEN","","","",""
"17288-31561","WR","Donte","","Moncrief","9.699999809265136","8","6200","IND@MIN","IND","MIN","Q","Hamstring","",""
"17288-29605","QB","Matt","","Barkley","11.0600004196167","4","6200","GB@CHI","CHI","GB","","","",""
"17288-24641","WR","Sammy","","Watkins","7.5","5","6100","CLE@BUF","BUF","CLE","Q","Foot","",""
"17288-11485","WR","Golden","","Tate","10.3999997652494","13","6100","DET@NYG","DET","NYG","","","",""
"17288-21941","QB","Robert","","Griffin III","11.279999732971191","2","6100","CLE@BUF","CLE","BUF","","","",""
"17288-6863","TE","Delanie","","Walker","10.941666920979818","12","6100","TEN@KC","TEN","KC","","","",""
"17288-29715","QB","Kevin","","Hogan","6.21999994913737","3","6000","CLE@BUF","CLE","BUF","","","",""
