Week,Greed,Predicted Points,Actual Points
6,True,151.58214511370858,104.36
7,True,150.26059961937418,138.94
8,True,145.77929302394037,104.91999999999999
9,True,146.74934699628344,133.4
10,True,146.05619870493322,134.18
11,True,146.1639836623346,109.7
12,True,152.294780372267,163.24
13,True,152.13892599769218,70.06
14,True,152.50998172566943,118.42
