Week,Greed,Predicted Points,Actual Points
2,False,153.96004078939092,91.56
3,False,152.69284890246777,106.13999999999999
4,False,161.28681345284724,121.92
5,False,159.07717070438807,147.48000000000002
6,False,159.71874610895426,121.98
7,False,157.61570380710646,109.24000000000001
8,False,157.26453863901682,170.92
9,False,155.02937889118292,112.16000000000001
