Week,Predicted Points,Actual Points
2,117.68889714457143,109.78
3,121.39020502546765,127.22
4,127.09298234248263,93.22000000000001
5,124.1997618190694,162.22
6,123.02030808561315,91.05999999999999
7,129.28050390442334,126.74
8,123.15383190639534,152.02
9,120.397956828554,116.42
10,119.09701605302047,176.0
11,121.95564289599824,122.0
12,128.0710129093379,146.8
13,124.87690229548409,137.5
14,130.18131620978468,132.26
