"Week","Predicted Points","Actual Points"
"3","118.08713762","139.9"
"4","118.589260863","90.8"
"5","117.814235766","89.6"
"6","118.089325015","107.38"
"7","114.277095865","96.14"
"8","112.968341603","119.32"
"9","114.386017401","97.42"
"10","115.081076037","164.72"
"11","117.169264271","133.34"
"12","117.812509195","106.9"
"13","99.0604791495","0.0"
