"Week","Predicted Points","Actual Points"
"3","108.172456366","127.62"
"4","111.419258858","166.12"
"5","109.293135359","138.58"
"6","110.116844362","135.7"
"7","110.976945631","114.48"
"8","108.919958772","116.8"
"9","107.431161594","163.76"
"10","105.383566224","110.92"
"11","109.661089706","108.7"
"12","110.095759695","154.74"
