"Week","Predicted Points","Actual Points"
"2","119.583485844","141.38"
"3","125.674894028","111.56"
"4","126.602643076","122.52"
"5","123.514309695","115.6"
"6","126.720856584","154.62"
"7","125.265910637","119.74"
"8","123.918914333","128.62"
"9","123.084572793","113.46"
"10","121.358303331","142.28"
"11","123.932131784","96.58"
"12","126.10426974","100.04"
"13","125.295430011","101.68"
