"Week","Predicted Points","Actual Points"
"2","114.59692672","111.08"
"3","114.065242629","125.58"
"4","117.529286076","136.02"
"5","116.108004155","165.52"
"6","116.932783911","112.76"
"7","117.670091395","84.24"
"8","115.074317744","143.02"
"9","114.034652008","98.12"
"10","113.706280577","160.9"
"11","113.813972946","109.0"
"12","116.993847332","120.1"
"13","117.499677744","109.06"
"14","118.175463985","96.5"
