"Week","Predicted Points","Actual Points"
"3","114.705603494","103.76"
"4","115.504366052","97.5"
"5","115.517519419","148.58"
"6","115.323833392","133.68"
"7","113.769875604","93.24"
"8","111.877702537","131.4"
"9","112.795898131","112.02"
"10","112.747412","150.26"
"11","115.780454503","99.4"
"12","116.648170816","115.0"
"13","99.0604791495","0.0"
