"Week","Predicted Points","Actual Points"
"2","113.540721145","105.66"
"3","112.46202854","119.08"
"4","116.629300449","125.12"
"5","115.035768278","149.48"
"6","117.046370454","125.02"
"7","119.715341444","94.94"
"8","114.046766262","133.32"
"9","112.099252777","102.76"
"10","111.122142052","161.4"
"11","111.741540976","96.0"
"12","116.059920604","144.6"
"13","116.900891494","91.36"
"14","117.912614429","131.1"
