"Week","Predicted Points","Actual Points"
"3","114.705603494","103.76"
"4","115.504366052","97.5"
"5","115.272199811","150.58"
"6","115.323833392","133.68"
"7","113.769875604","93.24"
"8","111.877702537","131.4"
"9","111.654517815","139.42"
"10","112.421186737","143.76"
"11","114.392508619","105.94"
"12","115.850890193","118.4"
"13","113.182911389","115.36"
