"Week","Predicted Points","Actual Points"
"2","118.671187798","131.38"
"3","118.392505015","103.56"
"4","120.40105142","106.66"
"5","114.536023098","93.76"
"6","121.337045046","100.7"
"7","118.722772716","110.8"
"8","112.50400689","97.6"
"9","113.912260566","136.88"
"10","112.756835105","100.94"
"11","116.734933101","95.48"
"12","116.31379237","111.24"
"13","122.201379808","94.38"
