"Week","Predicted Points","Actual Points"
"2","109.370497392","112.88"
"3","111.094020347","134.0"
"4","115.015664039","140.66"
"5","110.814083901","113.36"
"6","114.161873488","131.36"
"7","110.120505116","114.94"
"8","108.122955866","74.02"
"9","108.772263599","158.16"
"10","107.385078657","75.08"
"11","108.289605341","98.0"
"12","107.672396679","118.54"
"13","110.135621965","90.16"
"14","110.617871206","83.98"
