"Week","Predicted Points","Actual Points"
"2","115.958133511","96.44"
"3","114.902252087","136.18"
"4","118.360974931","109.62"
"5","116.105926935","149.76"
"6","116.932783911","112.76"
"7","118.175991192","90.94"
"8","115.074317744","143.02"
"9","114.034652008","98.12"
"10","113.706280577","160.9"
"11","113.813972946","109.0"
"12","116.895811468","137.8"
"13","117.499677744","109.06"
"14","118.175463985","96.5"
