Year,Week,Name,Position,Salary,Predicted points
2016,11,Marcus Mariota,QB,8000.0,19.685272172638257
2016,11,Willie Snead,WR,6700.0,16.81485960615803
2016,11,Mike Evans,WR,8000.0,17.55263727247379
2016,11,Michael Thomas,WR,6500.0,16.665796306424657
2016,11,Tim Hightower,RB,6000.0,16.36598719924664
2016,11,Le'Veon Bell,RB,9100.0,16.69936096535084
2016,11,Sebastian Janikowski,PK,4600.0,13.358457861312232
2016,11,Travis Kelce,TE,6100.0,16.489424659355755
2016,11,PIT,Def,4900.0,15.257983331714463
