Year,Week,Name,Position,Salary,Predicted points
2016,10,Marcus Mariota,QB,7400.0,20.514508221090427
2016,10,Jordy Nelson,WR,7700.0,13.330180317313513
2016,10,Doug Baldwin,WR,6900.0,11.280100061901852
2016,10,Brandin Cooks,WR,7300.0,12.250876198883484
2016,10,Devonta Freeman,RB,7000.0,14.274991203439058
2016,10,DeMarco Murray,RB,7400.0,15.7034058136421
2016,10,Cairo Santos,PK,4800.0,9.835028670741934
2016,10,Delanie Walker,TE,6200.0,10.922078896966648
2016,10,BAL,Def,5100.0,12.235056566539846
