Year,Week,Name,Position,Salary,Predicted points
2016,7,Matthew Stafford,QB,7900.0,20.2108385647659
2016,7,T.Y. Hilton,WR,7800.0,13.16745589971768
2016,7,Odell Beckham Jr.,WR,8600.0,13.662252673844932
2016,7,Marvin Jones,WR,7700.0,13.640160290658674
2016,7,LeSean McCoy,RB,9000.0,17.090274720003503
2016,7,Le'Veon Bell,RB,8600.0,18.412507664352965
2016,7,Sebastian Janikowski,PK,4600.0,9.78217425475856
2016,7,Rob Gronkowski,TE,8500.0,11.17342688278999
2016,7,TB,Def,4300.0,12.141412953531127
