Year,Week,Name,Position,Salary,Predicted points
2016,14,Russell Wilson,QB,7900.0,16.9
2016,14,Odell Beckham Jr.,WR,8500.0,15.965591381874592
2016,14,Mike Evans,WR,8900.0,15.71863705419322
2016,14,Davante Adams,WR,6400.0,12.815502425379554
2016,14,Mark Ingram,RB,7100.0,13.387462380774783
2016,14,Jay Ajayi,RB,7200.0,16.04443484507859
2016,14,Steven Hauschka,PK,4700.0,9.57976431783557
2016,14,Jason Witten,TE,5100.0,6.919460812558367
2016,14,PHI,Def,4200.0,10.896005825057296
