Year,Week,Name,Position,Salary,Predicted points
2016,15,Dak Prescott,QB,7900.0,19.535714285714285
2016,15,Jordy Nelson,WR,7700.0,13.373249710544673
2016,15,Davante Adams,WR,6900.0,12.074295740972005
2016,15,Brandin Cooks,WR,6300.0,11.332526805380517
2016,15,LeSean McCoy,RB,9000.0,16.449247697570964
2016,15,Latavius Murray,RB,6800.0,13.330394530884096
2016,15,Stephen Gostkowski,PK,4900.0,10.162094851102296
2016,15,Cameron Brate,TE,5700.0,9.028076261249971
2016,15,BAL,Def,4700.0,12.669789938244651
