Year,Week,Name,Position,Salary,Predicted points
2016,6,Matt Ryan,QB,7600.0,20.01462879891433
2016,6,Michael Crabtree,WR,7000.0,18.035653025608774
2016,6,Larry Fitzgerald,WR,7400.0,18.041679228442653
2016,6,Amari Cooper,WR,7100.0,18.818666783228583
2016,6,LeSean McCoy,RB,8200.0,18.953373194287664
2016,6,Ezekiel Elliott,RB,8100.0,19.66818372421858
2016,6,Sebastian Janikowski,PK,4700.0,12.608805233883844
2016,6,Jason Witten,TE,5600.0,15.899904541051068
2016,6,SD,Def,4200.0,15.168571734395933
