Year,Week,Name,Position,Salary,Predicted points
2016,12,Marcus Mariota,QB,8300.0,17.95903992683553
2016,12,Odell Beckham Jr.,WR,9000.0,16.88090935463332
2016,12,Mike Evans,WR,7900.0,16.968380860198266
2016,12,Jordy Nelson,WR,8000.0,17.45526759062647
2016,12,Le'Veon Bell,RB,9500.0,21.09540174498627
2016,12,Ezekiel Elliott,RB,8600.0,20.803525989845653
2016,12,Steven Hauschka,PK,4700.0,11.732919491148525
2016,12,Travis Kelce,TE,6300.0,15.694811624671024
2016,12,SD,Def,4600.0,15.12217551963153
