Year,Week,Name,Position,Salary,Predicted points
2016,5,Marcus Mariota,QB,7000.0,19.676175007180724
2016,5,Mike Evans,WR,7900.0,14.273283031342334
2016,5,Michael Crabtree,WR,6900.0,12.884712299935863
2016,5,Amari Cooper,WR,7200.0,14.886846773952472
2016,5,Ezekiel Elliott,RB,7900.0,15.77416228428157
2016,5,DeMarco Murray,RB,8400.0,16.03485230056473
2016,5,Stephen Gostkowski,PK,5100.0,10.979560792896457
2016,5,Dwayne Allen,TE,5600.0,8.496949834633167
2016,5,TB,Def,4000.0,11.193219494282074
