Year,Week,Name,Position,Salary,Predicted points
2016,2,Tyrod Taylor,QB,6900.0,19.60096236129574
2016,2,Mike Evans,WR,8100.0,12.545500520838722
2016,2,Doug Baldwin,WR,7000.0,12.482620635099202
2016,2,Brandon Marshall,WR,7600.0,12.228936236411622
2016,2,Devonta Freeman,RB,7400.0,16.131574560760658
2016,2,DeAngelo Williams,RB,7600.0,13.858295892275995
2016,2,Stephen Gostkowski,PK,5200.0,9.964765593242962
2016,2,Eric Ebron,TE,5500.0,8.34300029042846
2016,2,KC,Def,4700.0,12.533241054218081
