Year,Week,Name,Position,Salary,Predicted points
2016,10,Marcus Mariota,QB,7400.0,17.806279167038767
2016,10,Jordy Nelson,WR,7700.0,16.662180144155496
2016,10,Doug Baldwin,WR,6900.0,15.402015922431978
2016,10,Brandin Cooks,WR,7300.0,16.108415312012884
2016,10,Melvin Gordon,RB,8300.0,17.79624145335311
2016,10,DeMarco Murray,RB,7400.0,17.361928413880086
2016,10,Caleb Sturgis,PK,4600.0,10.686405320982182
2016,10,Delanie Walker,TE,6200.0,15.773226368641797
2016,10,JAC,Def,4100.0,13.66187962683859
